ROW_CSS_CLASS	name	name_HREF	bash	dash	ash	zsh	mksh	ksh	toysh	sush	brush	osh
cpp-good	globstar	globstar.html	0	-4	-4	-1	-3	-3	-4	0	-3	-3
cpp-good	here-doc	here-doc.html	0	-2	-1	-6	-1	-1	-11	-10	-2	-2
cpp-good	if_	if_.html	0	0	0	-1	0	0	-1	0	0	0
cpp-good	interactive	interactive.html	0	0	1	0	0	0	0	0	5	18
cpp-good	introspect	introspect.html	0	-12	-10	-11	-11	-11	-11	-10	-8	1
cpp-good	let	let.html	0	-2	-1	-2	-1	-1	-2	0	-1	-2
cpp-good	loop	loop.html	0	0	0	-2	0	1	-7	-8	-8	6
cpp-good	nameref	nameref.html	0	-23	-23	-22	-12	-12	-23	-22	-22	0
cpp-good	nix-idioms	nix-idioms.html	0	-6	-6	-6	-5	-6	-6	-5	-3	-1
cpp-good	nocasematch-match	nocasematch-match.html	0	-3	-3	-4	-3	-3	-3	-3	0	0
cpp-good	nul-bytes	nul-bytes.html	0	-10	-3	-14	-2	-2	-15	-16	-14	-5
cpp-good	osh-bugs	osh-bugs.html	0	0	0	0	0	0	0	0	0	2
cpp-good	parse-errors	parse-errors.html	0	0	1	-16	-14	-14	0	-7	-9	3
cpp-good	pipeline	pipeline.html	0	-8	-7	-5	-3	-4	-12	-1	-1	0
cpp-good	posix	posix.html	0	0	0	-2	-2	-2	-8	-2	-1	0
cpp-good	print-source-code	print-source-code.html	0	-4	-4	0	0	0	-4	0	0	0
cpp-good	process-sub	process-sub.html	0	-5	0	0	-5	-5	-3	-2	0	4
cpp-good	prompt	prompt.html	0	-31	-31	-31	-25	-31	-31	-31	-10	-6
cpp-good	quote	quote.html	0	-10	-1	-7	-6	-6	-1	0	-4	2
cpp-good	redirect	redirect.html	0	-15	-7	-3	-5	-5	-16	-12	-5	1
cpp-good	redirect-command	redirect-command.html	0	-3	-2	-4	-1	-1	-3	-6	-3	1
cpp-good	redirect-multi	redirect-multi.html	0	-10	-7	-7	-7	-8	-3	-2	-3	2
cpp-good	redir-order	redir-order.html	0	-1	-1	0	0	0	-2	0	-1	-1
cpp-good	regex	regex.html	0	-33	-25	-19	-29	-29	-24	-12	-5	2
cpp-good	serialize	serialize.html	0	-7	-7	-4	-3	-3	-7	-5	-1	0
cpp-good	sh-func	sh-func.html	0	-1	-1	1	0	0	0	-2	-1	0
cpp-good	sh-options	sh-options.html	0	-18	-16	-15	-13	-13	-25	-21	-7	10
cpp-good	sh-options-bash	sh-options-bash.html	0	-7	-7	-7	-7	-7	-7	-6	-1	-2
cpp-good	sh-usage	sh-usage.html	0	-2	-1	0	-3	-3	-5	-4	-3	2
cpp-good	smoke	smoke.html	0	0	0	-1	0	0	-2	0	-1	0
cpp-good	subshell	subshell.html	0	0	0	0	0	0	0	0	0	0
cpp-good	temp-binding	temp-binding.html	0	0	0	0	-1	0	-1	-1	0	1
cpp-good	tilde	tilde.html	0	-3	0	-1	0	0	-9	-3	-7	1
cpp-good	toysh	toysh.html	0	-8	-7	-7	-7	-5	-5	-2	-3	-4
cpp-good	toysh-posix	toysh-posix.html	0	-1	1	-8	1	1	-6	-4	-3	-2
cpp-good	type-compat	type-compat.html	0	-4	-4	-3	-3	-3	-3	-3	-2	-2
cpp-good	unicode	unicode.html	0	-7	-6	-2	-4	-4	-7	-7	-5	0
cpp-good	var-num	var-num.html	0	0	0	0	0	0	1	0	1	1
cpp-good	var-op-bash	var-op-bash.html	0	-20	-20	-19	-18	-19	-12	-14	-2	-4
cpp-good	var-op-len	var-op-len.html	0	-3	-1	0	-2	-1	-3	-1	-3	3
cpp-good	var-op-patsub	var-op-patsub.html	0	-27	-13	-6	-8	-7	-15	-12	-7	-1
cpp-good	var-op-slice	var-op-slice.html	0	-20	-14	-5	-15	-12	-14	-8	-7	0
cpp-good	var-op-strip	var-op-strip.html	0	-8	-7	-6	-9	-4	-17	-8	-5	0
cpp-good	var-op-test	var-op-test.html	0	-15	-15	-12	-8	-7	-25	-15	-13	-1
cpp-good	var-ref	var-ref.html	0	-26	-26	-21	-24	-23	-21	-10	-5	5
cpp-good	vars-bash	vars-bash.html	0	0	0	0	0	0	0	0	1	0
cpp-good	vars-special	vars-special.html	0	-21	-17	-10	-17	-17	-18	-13	-12	0
cpp-good	var-sub	var-sub.html	0	-1	0	-2	-1	-1	-3	0	0	1
cpp-good	var-sub-quote	var-sub-quote.html	0	-4	-3	-9	-1	-1	-25	-3	-14	1
cpp-good	whitespace	whitespace.html	0	0	-2	-1	-2	-2	-4	-2	-2	-2
cpp-good	word-eval	word-eval.html	0	-2	-2	-3	0	0	-3	0	-1	0
cpp-good	word-split	word-split.html	0	-1	-1	-32	-2	-1	-20	-4	-16	-2
cpp-good	xtrace	xtrace.html	0	-7	-2	-7	-4	-4	-8	-7	1	4
cpp-good	zsh-assoc	zsh-assoc.html	0	-3	-3	4	-2	-2	-3	0	0	-1
cpp-good	zsh-idioms	zsh-idioms.html	0	-1	-1	-1	-1	-1	-1	0	-1	0
