ROW_CSS_CLASS	name	name_HREF	bash	dash	ash	zsh	mksh	ksh	toysh	sush	brush	osh
cpp-good	divergence	divergence.html	4	4	4	3	2	2	0	2	0	0
cpp-good	dparen	dparen.html	-1	-14	-14	-8	-4	-4	-11	-3	-5	0
cpp-good	empty-bodies	empty-bodies.html	-2	-2	-2	0	-1	-1	0	0	0	0
cpp-good	errexit	errexit.html	-1	-6	-5	-3	0	0	-22	-23	-21	0
cpp-good	errexit-osh	errexit-osh.html	-20	-26	-21	-25	-25	-24	-24	-22	-22	0
cpp-good	exit-status	exit-status.html	-2	-4	-4	-4	-2	-2	-5	-3	-7	0
cpp-good	explore-parsing	explore-parsing.html	-1	-1	-1	0	0	0	-2	-2	-2	0
cpp-good	extglob-files	extglob-files.html	4	-18	-18	-16	0	0	-16	-4	1	0
cpp-good	extglob-match	extglob-match.html	4	-25	-25	-23	-3	1	-24	-1	3	0
cpp-good	fatal-errors	fatal-errors.html	-5	-5	-5	-3	0	0	-5	-5	-2	0
cpp-good	for-expr	for-expr.html	-1	-9	-9	-1	-9	-9	-9	-5	-4	0
cpp-good	func-parsing	func-parsing.html	-2	-3	-3	-9	-5	-5	0	-6	-2	0
cpp-good	glob	glob.html	2	-5	-2	-11	-5	-3	-15	-5	-4	0
cpp-good	glob-bash	glob-bash.html	1	-7	-7	-7	-7	-7	-7	-2	-5	0
cpp-good	globignore	globignore.html	14	0	0	0	0	0	0	0	0	0
cpp-good	globstar	globstar.html	3	-1	-1	2	0	0	-1	3	0	0
cpp-good	here-doc	here-doc.html	3	1	2	-3	2	2	-9	-8	0	0
cpp-good	if_	if_.html	0	0	0	-1	0	0	-1	0	-1	0
cpp-good	interactive	interactive.html	-18	-18	-17	-18	-18	-18	-18	-18	-10	0
cpp-good	introspect	introspect.html	-1	-13	-11	-12	-12	-12	-12	-11	-9	0
cpp-good	let	let.html	2	0	1	0	1	1	0	2	1	0
cpp-good	loop	loop.html	-6	-6	-6	-8	-6	-5	-13	-7	-8	0
cpp-good	nameref	nameref.html	0	-23	-23	-22	-12	-12	-23	-22	-22	0
cpp-good	nix-idioms	nix-idioms.html	1	-5	-5	-5	-4	-5	-5	-4	-2	0
cpp-good	nocasematch-match	nocasematch-match.html	0	-3	-3	-4	-3	-3	-3	-3	0	0
cpp-good	nul-bytes	nul-bytes.html	5	-5	2	-9	3	3	-10	-11	-9	0
cpp-good	osh-bugs	osh-bugs.html	-4	-4	-4	-4	-4	-4	-4	-4	-4	0
cpp-good	paren-ambiguity	paren-ambiguity.html	3	0	0	3	3	3	1	1	2	0
cpp-good	parse-errors	parse-errors.html	-2	-2	-1	-18	-16	-16	-2	-9	-10	0
cpp-good	pipeline	pipeline.html	1	-8	-7	-5	-3	-3	-12	-1	-1	0
cpp-good	posix	posix.html	0	0	0	-2	-2	-2	-8	-2	-1	0
cpp-good	print-source-code	print-source-code.html	0	-4	-4	0	0	0	-4	0	0	0
cpp-good	process-sub	process-sub.html	-4	-9	-4	-4	-9	-9	-7	-6	-3	0
cpp-good	prompt	prompt.html	6	-25	-25	-25	-19	-25	-25	-25	-4	0
cpp-good	quote	quote.html	0	-11	-2	-8	-5	-5	-2	0	-5	0
cpp-good	redirect	redirect.html	-1	-18	-10	-4	-7	-7	-18	-15	-7	0
cpp-good	redirect-command	redirect-command.html	-1	-4	-3	-5	-2	-2	-4	-7	-2	0
cpp-good	redirect-multi	redirect-multi.html	-2	-12	-9	-9	-9	-10	-5	-4	-5	0
cpp-good	redir-order	redir-order.html	0	-1	-1	0	0	0	-2	0	-1	0
cpp-good	regex	regex.html	-2	-35	-27	-21	-31	-31	-26	-14	-7	0
cpp-good	serialize	serialize.html	0	-7	-7	-4	-3	-3	-7	-5	-1	0
cpp-good	sh-func	sh-func.html	0	-1	-1	1	0	0	0	-2	-1	0
cpp-good	sh-options	sh-options.html	-11	-29	-26	-25	-22	-22	-31	-30	-16	0
cpp-good	sh-options-bash	sh-options-bash.html	2	-5	-5	-5	-5	-5	-5	-4	1	0
cpp-good	sh-usage	sh-usage.html	-1	-5	-4	-3	-7	-5	-9	-10	-6	0
cpp-good	smoke	smoke.html	0	0	0	-1	0	0	-2	0	-1	0
cpp-good	subshell	subshell.html	0	0	0	0	0	0	0	0	0	0
cpp-good	temp-binding	temp-binding.html	-1	-1	-1	-1	-2	-1	-2	-2	-1	0
cpp-good	tilde	tilde.html	-1	-4	-1	-2	-1	-1	-10	-3	-8	0
cpp-good	toysh	toysh.html	4	-4	-3	-3	-3	-1	-1	2	1	0
cpp-good	toysh-posix	toysh-posix.html	-1	-2	0	-9	0	0	-7	-5	-5	0
cpp-good	type-compat	type-compat.html	2	-2	-2	-1	-1	-1	-1	0	0	0
cpp-good	unicode	unicode.html	0	-7	-6	-2	-4	-4	-7	-7	-5	0
cpp-good	var-num	var-num.html	-1	-1	-1	-1	-1	-1	0	-1	0	0
cpp-good	var-op-bash	var-op-bash.html	4	-16	-16	-15	-14	-15	-8	-12	2	0
cpp-good	var-op-len	var-op-len.html	-2	-6	-4	-2	-5	-4	-6	-4	-6	0
cpp-good	var-op-patsub	var-op-patsub.html	1	-26	-12	-5	-7	-6	-14	-11	-6	0
cpp-good	var-op-slice	var-op-slice.html	0	-20	-14	-5	-15	-12	-14	-8	-7	0
cpp-good	var-op-strip	var-op-strip.html	0	-8	-7	-6	-9	-4	-17	-8	-2	0
cpp-good	var-op-test	var-op-test.html	1	-14	-14	-11	-7	-6	-24	-9	-12	0
cpp-good	var-ref	var-ref.html	-5	-31	-31	-26	-29	-28	-26	-15	-10	0
cpp-good	vars-bash	vars-bash.html	0	0	0	0	0	0	0	0	1	0
cpp-good	vars-special	vars-special.html	0	-21	-17	-10	-17	-17	-18	-13	-13	0
cpp-good	var-sub	var-sub.html	-1	-2	-1	-3	-2	-2	-4	-1	-1	0
cpp-good	var-sub-quote	var-sub-quote.html	-1	-6	-4	-11	-3	-3	-28	-4	-16	0
cpp-good	whitespace	whitespace.html	2	2	0	1	0	0	-2	0	0	0
cpp-good	word-eval	word-eval.html	0	-2	-2	-3	0	0	-3	0	-1	0
cpp-good	word-split	word-split.html	-3	-4	-4	-35	-5	-4	-23	-7	-19	0
cpp-good	xtrace	xtrace.html	-4	-11	-6	-11	-8	-8	-12	-11	-3	0
cpp-good	zsh-assoc	zsh-assoc.html	1	-2	-2	5	-1	-1	-2	1	1	0
cpp-good	zsh-idioms	zsh-idioms.html	0	-1	-1	-1	-1	-1	-1	0	-1	0
